Название раздела;Название раздела;Название раздела;Название товара;Артикул товара;Артикул родительского товара;Цена товара;Название производителя;Файл изображения для товара;Цвет;Размер;Состав;Сезон;Описание товара;Дополнительное изображение № 1;Дополнительное изображение № 2;Дополнительное изображение № 3;Дополнительное изображение № 4;Дополнительное изображение № 5;Дополнительное изображение № 6;"Склад ""Основной""";Флаг индексации;Новые поступления;
Мужская одежда;Носки;Nur die;Носки;140515_91;;156;Nur die;/upload/import/140515_91.JPG;Мультиколор;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_91-39-42;140515_91;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_57;;156;Nur die;/upload/import/140515_57.JPG;Мультиколор;;40% хлопок 40% акрил 15% полиэстер 5% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_57-39-42;140515_57;156;Nur die;;Мультиколор;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Комплект носков 3 пары;140515_34;;156;Nur die;/upload/import/140515_34.JPG;Серый;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Комплект носков 3 пары;140515_34-39-42;140515_34;156;Nur die;;Серый;39-42;;Демисезон;;;;;;;;2;0;;
Женская одежда;Носки, колготки;Nur die;Комплект носков 3 пары;140515_39;;156;Nur die;/upload/import/140515_39.JPG;Черный;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Комплект носков 3 пары;140515_39-39-42;140515_39;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_40;;156;Nur die;/upload/import/140515_40.JPG;Черный;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_40-39-42;140515_40;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_41;;156;Nur die;/upload/import/140515_41.JPG;Бежевый;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_41-39-42;140515_41;156;Nur die;;Бежевый;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_42;;156;Nur die;/upload/import/140515_42.JPG;Черный;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_42-43-46;140515_42;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_43;;156;Nur die;/upload/import/140515_43.JPG;Черный;;80% хлопок 17% полиамид 3% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_43-43-46;140515_43;156;Nur die;;Черный;43-46;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_45;;156;Nur die;/upload/import/140515_45.JPG;Бежевый;;98% хлопок 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_45-39-42;140515_45;156;Nur die;;Бежевый;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_46;;156;Nur die;/upload/import/140515_46.JPG;Бежевый;;98% хлопок 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_46-39-42;140515_46;156;Nur die;;Бежевый;39-42;;Демисезон;;;;;;;;2;0;;
Мужская одежда;Носки;Nur die;Носки;140515_68;;156;Nur die;/upload/import/140515_68.JPG;Черный;;98% хлопок 2% эластан;Демисезон;;;;;;;;2;1;;
;;;Носки;140515_68-39-42;140515_68;156;Nur die;;Черный;39-42;;Демисезон;;;;;;;;2;0;;
